"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"06/19/2023, 02:12:00","MQ","ICB","Blank","14:12:19",1,0,0,0,0,0,0,0,0,0,0,0,0,100,""
"06/19/2023, 02:26:00","Owasco","230619_MCOW_C2","Raw Water","14:26:13",1,0.986,0.003,2.102,0,0.582,3.091,0.986,0.003,2.102,0,0.582,3.091,100,""
"06/19/2023, 02:32:00","Owasco","230619_MCOW_C3","Raw Water","14:32:06",1,1.064,0.154,0.876,0.013,0.408,2.107,1.064,0.154,0.876,0.013,0.408,2.107,100,""
"06/19/2023, 02:35:00","Owasco","230619_MCOW_C4","Raw Water","14:35:15",1,2.652,0.005,2.695,0,0.444,5.352,2.652,0.005,2.695,0,0.444,5.352,100,"Duplicate"
"06/19/2023, 02:37:12","Owasco","230619_MCOW_C4","Raw Water","14:37:37",1,2.428,0,2.893,0,0.448,5.321,2.428,0,2.893,0,0.448,5.321,100,"Duplicate"
"06/19/2023, 02:41:00","Owasco","230619_MCOW_N1","Raw Water","14:41:13",1,1.619,0,3.524,0,0.532,5.143,1.619,0,3.524,0,0.532,5.143,100,""
"06/19/2023, 02:43:42","Owasco","230619_MCOW_N2","Raw Water","14:43:53",1,1.909,0,4.068,0,0.452,5.977,1.909,0,4.068,0,0.452,5.977,100,""
"06/19/2023, 02:46:00","Owasco","230619_MCOW_N3","Raw Water","14:46:27",1,1.058,0,3.092,0,0.554,4.15,1.058,0,3.092,0,0.554,4.15,100,""
"06/19/2023, 02:49:00","Owasco","230619_MCOW_N4","Raw Water","14:49:30",1,0.832,0.006,2.08,0.014,0.655,2.932,0.832,0.006,2.08,0.014,0.655,2.932,100,""
"06/19/2023, 02:56:00","Owasco","230619_MCOW_PA1","Raw Water","14:56:08",1,2.61,0,6.874,0,0.607,9.484,2.61,0,6.874,0,0.607,9.484,100,""
"06/19/2023, 03:00:00","Owasco","230619_MCOW_PA2","Raw Water","15:00:19",1,2.89,0,6.36,0,0.547,9.25,2.89,0,6.36,0,0.547,9.25,100,""
"06/19/2023, 03:02:12","Owasco","230619_MCOW_PA3","Raw Water","15:02:37",1,2.519,0,6.677,0,0.578,9.196,2.519,0,6.677,0,0.578,9.196,100,""
"06/19/2023, 03:05:00","MQ","CCB","Blank","15:05:24",1,0,0,0,0,0,0,0,0,0,0,0,0,100,""
"06/19/2023, 03:09:24","Owasco","230619-MCOW_PA4","Raw Water","15:09:44",1,2.214,0,6.343,0,0.633,8.557,2.214,0,6.343,0,0.633,8.557,100,""
"06/19/2023, 03:16:00","Owasco","230619_MCOW_PB1","Raw Water","15:16:20",1,3.657,0,5.19,0,0.558,8.847,3.657,0,5.19,0,0.558,8.847,100,""
"06/19/2023, 03:19:06","Owasco","230619_MCOW_PB2","Raw Water","15:19:33",1,2.773,0,4.714,0,0.514,7.487,2.773,0,4.714,0,0.514,7.487,100,""
