"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"07/19/2023, 15:19:00","MQ","ICB","blank","15:19:27",1,0,0.011,0.005,0.034,0.022,0.05,0,0.011,0.005,0.034,0.022,0.05,100,""
"07/19/2023, 15:22:00","KE","230719_KLA_FB","Raw Water","15:22:29",1,0,0.089,0,0.016,0.027,0.105,0,0.089,0,0.016,0.027,0.105,100,""
"07/19/2023, 15:25:00","KE","230719_KLA_01","Raw Water","15:25:14",1,0,0.001,0.298,0.644,0.389,0.943,0,0.001,0.298,0.644,0.389,0.943,100,""
"07/19/2023, 15:27:00","KE","230719_KLA_03","Raw Water","15:27:28",1,0.28,0,1.68,0.392,0.358,2.352,0.28,0,1.68,0.392,0.358,2.352,100,""
"07/19/2023, 15:29:42","KE","230719_KLA_05","Raw Water","15:29:51",1,0.701,0,2.086,0.047,0.361,2.834,0.701,0,2.086,0.047,0.361,2.834,100,""
"07/19/2023, 15:32:00","KE","230719_KLA_07","Raw Water","15:32:04",1,0,0,0.532,0.47,0.38,1.002,0,0,0.532,0.47,0.38,1.002,100,"Duplicate"
"07/19/2023, 15:33:54","KE","230719_KLA_07","Raw Water","15:33:57",1,0,0,0.553,0.462,0.376,1.015,0,0,0.553,0.462,0.376,1.015,100,"Duplicate"
"07/19/2023, 15:36:00","KE","230719_KLA_09","Raw Water","15:36:05",1,0,0,1.147,0.371,0.38,1.518,0,0,1.147,0.371,0.38,1.518,100,""
"07/19/2023, 15:38:00","KE","230719_KLA_10","Raw Water","15:38:14",1,0.392,0.061,1.525,0.394,0.429,2.372,0.392,0.061,1.525,0.394,0.429,2.372,100,""
"07/19/2023, 15:40:12","KE","230719_KLA_11","Raw Water","15:40:37",1,0.692,0.001,1.708,0.345,0.449,2.746,0.692,0.001,1.708,0.345,0.449,2.746,100,""
"07/19/2023, 15:44:00","KE","230719_KLA_12","Raw Water","15:44:28",1,0,0,0.517,0.376,0.441,0.893,0,0,0.517,0.376,0.441,0.893,100,""
"07/19/2023, 15:46:00","MQ","CCB","blank","15:46:15",1,0.015,0,0.004,0.022,0.018,0.041,0.015,0,0.004,0.022,0.018,0.041,100,""
