"Site","ID","Green_Chl","Bluegreen_Chl","Diatom_Chl","Cryptophyte_Chl","Total_Chl","Yellow_Sub"
"KE","230426_KLA_1",0,0,1.75,0.14,1.89,0.38
"KE","230426_KLA_10",0.28,0,1.66,0,1.94,0.38
"KE","230426_KLA_11",0.16,0,1.57,0.34,2.07,0.63
"KE","230426_KLA_12",0,0,1.62,0.21,1.83,0.39
"KE","230426_KLA_3",0.11,0,1.71,0,1.82,0.38
"KE","230426_KLA_5",0,0,2.55,0.27,2.82,0.38
"KE","230426_KLA_7",0.89,0,2.63,0,3.52,0.35
"KE","230426_KLA_9",0.08,0,1.38,0.05,1.51,0.35
"KE","230426_KLA_FB",0,0,0,0,0.01,0.01
"MQ","CCB",0,0,0,0,0,0
"MQ","ICB",0,0.02,0,0.03,0.04,0
