"Site","ID","Green_Chl","Bluegreen_Chl","Diatom_Chl","Cryptophyte_Chl","Total_Chl","Yellow_Sub"
"MQ","CCB",0,0,0,0,0,0
"MQ","ICB",0,0,0,0,0,0
"Owasco","230619-MCOW_PA4",2.21,0,6.34,0,8.56,0.63
"Owasco","230619_MCOW_C2",0.99,0,2.1,0,3.09,0.58
"Owasco","230619_MCOW_C3",1.06,0.15,0.88,0.01,2.11,0.41
"Owasco","230619_MCOW_C4",2.54,0,2.79,0,5.34,0.45
"Owasco","230619_MCOW_N1",1.62,0,3.52,0,5.14,0.53
"Owasco","230619_MCOW_N2",1.91,0,4.07,0,5.98,0.45
"Owasco","230619_MCOW_N3",1.06,0,3.09,0,4.15,0.55
"Owasco","230619_MCOW_N4",0.83,0.01,2.08,0.01,2.93,0.66
"Owasco","230619_MCOW_NPA1",2.13,0,5.61,0,7.74,0.59
"Owasco","230619_MCOW_NPA2",3.96,0.27,5.47,0,9.7,0.63
"Owasco","230619_MCOW_NPA3",2.03,0,5.52,0,7.55,0.57
"Owasco","230619_MCOW_NPA4",2.41,0,6.15,0,8.56,0.62
"Owasco","230619_MCOW_NPB1",7.1,0,5.49,0,12.59,0.5
"Owasco","230619_MCOW_NPB2",2.57,0,4.66,0,7.24,0.62
"Owasco","230619_MCOW_NPB3",6.23,0,8.86,0,15.09,0.36
"Owasco","230619_MCOW_NPB4",5.84,0,9.04,0,14.87,0.36
"Owasco","230619_MCOW_NPC1",0.71,0,2.18,0,2.89,0.69
"Owasco","230619_MCOW_NPC2",1.84,0,3.1,0,4.94,0.68
"Owasco","230619_MCOW_NPC3",1.04,0,2.28,0,3.33,0.67
"Owasco","230619_MCOW_NPC4",1.51,0.02,0.37,0.2,2.1,0.48
"Owasco","230619_MCOW_PA1",2.61,0,6.87,0,9.48,0.61
"Owasco","230619_MCOW_PA2",2.89,0,6.36,0,9.25,0.55
"Owasco","230619_MCOW_PA3",2.52,0,6.68,0,9.2,0.58
"Owasco","230619_MCOW_PB1",3.66,0,5.19,0,8.85,0.56
"Owasco","230619_MCOW_PB2",2.77,0,4.71,0,7.49,0.51
"Owasco","230619_MCOW_PB3",3.25,0,5.47,0,8.72,0.64
"Owasco","230619_MCOW_PB4",2.24,0,4.57,0,6.81,0.68
"Owasco","230619_MCOW_PC1",2.97,0,3.87,0,6.84,0.64
"Owasco","230619_MCOW_PC2",0.07,0,4.9,0,4.97,0.66
"Owasco","230619_MCOW_PC3",3.56,0,5.31,0,8.87,0.68
"Owasco","230619_MCOW_PC4",3.11,0,5.24,0,8.35,0.7
