"Site","ID","Type","count","Green_Chl","Bluegreen_Chl","Diatom_Chl","Cryptophyte_Chl","Total_Chl"
"Keuka","230621_KLA_01","Raw Water",2,0.04,0,1.15,0,1.19
"Keuka","230621_KLA_02","Raw Water",1,0,0,0.35,0,0.35
"Keuka","230621_KLA_03","Raw Water",1,0,0,1.57,0,1.57
"Keuka","230621_KLA_04","Raw Water",1,0,0,0.46,0.23,0.69
"Keuka","230621_KLA_05","Raw Water",1,0.1,0,1.53,0,1.62
"Keuka","230621_KLA_06","Raw Water",1,0,0,0.56,0.05,0.6
"Keuka","230621_KLA_07","Raw Water",1,0.01,0,1.29,0,1.3
"Keuka","230621_KLA_08","Raw Water",1,0,0,0.52,0.06,0.58
"Keuka","230621_KLA_09","Raw Water",1,0,0,0.76,0,0.76
"Keuka","230621_KLA_10","Raw Water",2,0,0,1.18,0,1.18
"Keuka","230621_KLA_11","Raw Water",1,0,0,1.03,0,1.03
"Keuka","230621_KLA_12","Raw Water",1,0,0,0.63,0,0.63
