"Site","ID","Green_Chl","Bluegreen_Chl","Diatom_Chl","Cryptophyte_Chl","Total_Chl","Yellow_Sub"
"CSC","230629_CSC_OI_S",0,0.26,0,0,0.26,1.06
"Honeoye","230710_HN_7M.B",0.58,1.29,0.63,0.11,2.62,1.22
"Honeoye","230710_HN_7M.S",4.26,5.36,3.12,5.73,18.46,0.97
"Honeoye","230710_HN_9M.B",0.04,0.93,0.44,0.77,2.18,1.35
"Honeoye","230710_HN_9M.S",1.97,5.05,5.23,1.48,13.73,0.9
"MQ","CCB",0,0.09,0,0.01,0.1,0.01
"MQ","ICB",0,0,0,0.02,0.03,0
"OW","230629_OW_EM_S",0.04,0.22,0.03,0.43,0.72,0.85
"PB","230629_PB_SO_S",3.05,3.38,0.55,0.07,7.06,2.88
"SB","230629_SB_PL_S",7.77,0.55,2.52,1.76,12.6,1.26
"SK","230629_SK_DE_S",0.01,0,0.39,0.1,0.49,0.26
