"Site","ID","count","Green_Chl","Bluegreen_Chl","Diatom_Chl","Cryptophyte_Chl","Total_Chl","Yellow_Sub"
"KE","230719_KLA_01",1,0,0,0.3,0.64,0.94,0.39
"KE","230719_KLA_03",1,0.28,0,1.68,0.39,2.35,0.36
"KE","230719_KLA_05",1,0.7,0,2.09,0.05,2.83,0.36
"KE","230719_KLA_07",2,0,0,0.54,0.47,1.01,0.38
"KE","230719_KLA_09",1,0,0,1.15,0.37,1.52,0.38
"KE","230719_KLA_10",1,0.39,0.06,1.52,0.39,2.37,0.43
"KE","230719_KLA_11",1,0.69,0,1.71,0.34,2.75,0.45
"KE","230719_KLA_12",1,0,0,0.52,0.38,0.89,0.44
"KE","230719_KLA_FB",1,0,0.09,0,0.02,0.1,0.03
"MQ","CCB",1,0.01,0,0,0.02,0.04,0.02
"MQ","ICB",1,0,0.01,0,0.03,0.05,0.02
