#,Lake info,Sample ID,Type,Start Time ,ml sample,ml MQ,Comments
1,MQ,ICB,Blank,14:32:47,25,0,
2,KE,230523_KLA_FB,Raw Water,14:36:00,25,0,
3,KE,230523_KLA_01,Raw Water,14:41:58,25,0,
4,KE,230523_KLA_03,Raw Water,14:44:40,25,0,
5,KE,230523_KLA_05,Raw Water,14:50:18,25,0,
6,KE,230523_KLA_07,Raw Water,14:53:11,25,0,
7,KE,230523_KLA_09,Raw Water,14:55:30,25,0,
8,KE,230523_KLA_10,Raw Water,15:01:40,25,0,
9,KE,230523_KLA_11,Raw Water,15:05:02,25,0,Duplicate
10,KE,230523_KLA_11,Raw Water,15:06:45,25,0,Duplicate
11,KE,230523_KLA_12,Raw Water,15:09:05,25,0,
12,MQ,CCB,Blank,15:15:06,25,0,
