Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/19/2023 2:12:19 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	24.92	0	0	0	0	0	0	0	0	0	242.47	-0.30	0.03	3.06	0.26	1.97	-0.04	0.98	28.26	26.97
6/19/2023 2:12:22 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.01	24.91	0	0	0	0	0	0	0	0	0	242.35	-0.20	0.01	3.03	0.37	1.76	0.05	0.98	28.26	27.01
6/19/2023 2:12:25 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.01	24.92	0	0	0	0	0	0	0	0	0	242.36	-0.21	-0.07	3.05	0.37	1.78	0.13	0.98	28.26	26.97
6/19/2023 2:12:28 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.01	24.90	0	0	0	0	0	0	0	0	0	241.96	-0.25	-0.04	2.99	0.37	1.77	0.08	0.98	28.27	27.04
6/19/2023 2:12:31 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.01	24.90	0	0	0	0	0	0	0	0	0	242.56	-0.16	-0.10	3.04	0.37	1.84	0.03	0.98	28.27	27.10
6/19/2023 2:12:34 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.01	24.94	0	0	0	0	0	0	0	0	0	242.51	-0.21	-0.14	2.97	0.37	1.72	0.03	0.98	28.31	27.05
6/19/2023 2:12:37 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	24.92	0	0	0	0	0	0	0	0	0	242.50	-0.30	-0.07	3.00	0.50	1.73	0.09	0.98	28.29	27.09
6/19/2023 2:12:40 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	24.92	0	0	0	0	0	0	0	0	0	242.43	-0.22	0.08	3.02	0.37	1.72	0.09	0.98	28.31	27.05
6/19/2023 2:12:43 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	24.90	0	0	0	0	0	0	0	0	0	242.50	-0.27	-0.09	3.03	0.33	1.63	0.16	0.98	28.31	27.09
6/19/2023 2:12:46 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.01	24.92	0	0	0	0	0	0	0	0	0	242.38	-0.15	0.00	2.97	0.46	1.69	0.07	0.98	28.31	27.10
6/19/2023 2:26:13 PM	0.65	0.00	2.25	0.00	0.00	0.00	0.00	0.61	2.90	100.00	-0.01	24.93	345	0	1011	0	0	0	0	0	1356	252.41	4.27	0.57	5.58	12.51	4.13	9.97	0.98	28.78	28.23
6/19/2023 2:26:16 PM	0.67	0.01	2.25	0.00	0.00	0.00	0.00	0.58	2.93	100.00	-0.01	24.92	357	11	1013	0	0	0	0	0	1380	252.07	4.26	0.60	5.70	12.26	4.20	9.85	0.98	28.75	28.21
6/19/2023 2:26:19 PM	1.14	0.02	2.03	0.00	0.00	0.00	0.00	0.58	3.19	100.00	-0.02	24.93	606	16	913	0	0	0	0	0	1535	251.83	4.07	0.63	5.79	12.40	4.25	10.03	0.98	28.75	28.20
6/19/2023 2:26:22 PM	1.10	0.00	2.06	0.00	0.00	0.00	0.00	0.56	3.16	100.00	-0.02	24.92	582	0	929	0	0	0	0	0	1511	252.28	4.06	0.56	5.57	12.17	4.23	10.03	0.98	28.77	28.26
6/19/2023 2:26:25 PM	1.09	0.00	2.05	0.00	0.00	0.00	0.00	0.58	3.14	100.00	-0.01	24.93	579	0	922	0	0	0	0	0	1500	252.06	4.07	0.53	5.72	12.34	4.14	10.03	0.98	28.78	28.18
6/19/2023 2:26:28 PM	1.18	0.00	2.02	0.00	0.00	0.00	0.00	0.58	3.19	100.00	-0.02	24.94	624	0	907	0	0	0	0	0	1531	251.80	4.04	0.59	5.73	12.35	4.25	10.03	0.98	28.80	28.23
6/19/2023 2:26:31 PM	1.05	0.00	2.02	0.00	0.00	0.00	0.00	0.59	3.07	100.00	-0.02	24.93	555	0	909	0	0	0	0	0	1465	251.57	4.03	0.62	5.73	12.39	4.11	9.92	0.98	28.79	28.21
6/19/2023 2:26:34 PM	0.92	0.00	2.16	0.00	0.00	0.00	0.00	0.58	3.08	100.00	-0.01	24.93	488	0	970	0	0	0	0	0	1458	252.03	4.17	0.56	5.57	12.31	4.35	10.00	0.98	28.78	28.20
6/19/2023 2:26:37 PM	1.10	0.00	2.08	0.00	0.00	0.00	0.00	0.57	3.18	100.00	-0.02	24.93	580	1	937	0	0	0	0	0	1519	251.83	4.11	0.65	5.74	12.31	4.26	10.04	0.98	28.79	28.25
6/19/2023 2:26:40 PM	0.96	0.00	2.10	0.00	0.00	0.00	0.00	0.59	3.07	100.00	-0.02	24.92	509	0	947	0	0	0	0	0	1456	252.14	4.12	0.71	5.67	12.41	4.14	10.00	0.98	28.76	28.25
6/19/2023 2:32:06 PM	0.90	0.22	0.92	0.00	0.00	0.00	0.00	0.41	2.03	100.00	-0.03	24.93	477	215	412	0	0	0	0	0	1104	251.24	2.19	0.31	5.46	8.30	3.72	5.96	0.98	28.85	28.55
6/19/2023 2:32:10 PM	0.90	0.21	0.92	0.00	0.00	0.00	0.00	0.42	2.03	100.00	-0.02	24.95	478	208	415	0	0	0	0	0	1102	251.15	2.20	0.42	5.41	8.41	3.76	6.01	0.98	28.90	28.57
6/19/2023 2:32:13 PM	1.03	0.18	0.85	0.00	0.00	0.00	0.00	0.42	2.07	100.00	-0.02	24.95	547	181	384	0	0	0	0	0	1113	251.36	2.12	0.36	5.33	8.36	3.76	6.02	0.98	28.90	28.59
