Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/19/2023 15:19:27	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.02	0.07	100.00	0.00	22.41	0	4	0	2	0	0	0	0	6	129.65	0.72	0.56	0.78	1.26	1.63	-0.17	0.97	23.07	22.56
7/19/2023 15:19:31	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.02	0.06	100.00	0.00	22.41	0	2	0	2	0	0	0	0	4	129.68	0.62	0.46	0.83	1.25	1.59	-0.04	0.97	23.06	22.47
7/19/2023 15:19:34	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.02	0.04	100.00	0.00	22.41	0	0	0	1	0	0	0	0	1	129.59	0.58	0.48	0.84	1.18	1.47	-0.04	0.97	23.07	22.51
7/19/2023 15:19:36	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.02	0.06	100.00	-0.00	22.41	0	0	0	2	0	0	0	0	2	129.91	0.72	0.54	0.81	1.25	1.48	-0.02	0.97	23.10	22.53
7/19/2023 15:19:39	0.00	0.03	0.00	0.03	0.00	0.00	0.00	0.02	0.06	100.00	0.00	22.41	0	29	0	1	0	0	0	0	30	129.66	0.66	0.50	0.87	1.28	1.60	-0.13	0.97	23.10	22.57
7/19/2023 15:19:42	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.01	0.05	100.00	-0.00	22.43	0	0	23	0	0	0	0	0	23	129.30	0.75	0.39	0.78	1.17	1.41	-0.06	0.97	23.14	22.59
7/19/2023 15:19:46	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.03	0.05	100.00	-0.00	22.41	0	48	0	0	0	0	0	0	48	129.77	0.58	0.55	0.97	1.32	1.49	-0.14	0.97	23.11	22.59
7/19/2023 15:19:48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	100.00	0.00	22.41	0	4	0	0	0	0	0	0	4	129.56	0.59	0.44	0.80	1.32	1.42	-0.19	0.97	23.13	22.57
7/19/2023 15:19:51	0.00	0.02	0.00	0.06	0.00	0.00	0.00	0.02	0.07	100.00	-0.00	22.42	0	15	0	2	0	0	0	0	17	129.62	0.79	0.47	0.95	1.27	1.50	-0.10	0.97	23.15	22.60
7/19/2023 15:19:54	0.00	0.01	0.00	0.03	0.00	0.00	0.00	0.03	0.04	100.00	-0.01	22.41	0	9	0	1	0	0	0	0	10	129.38	0.69	0.42	0.88	1.30	1.47	-0.09	0.97	23.15	22.62
7/19/2023 15:22:29	0.00	0.08	0.00	0.02	0.00	0.00	0.00	0.03	0.09	100.00	0.00	22.45	0	78	0	1	0	0	0	0	78	126.73	0.65	0.47	0.99	1.37	1.72	-0.11	0.97	23.49	22.92
7/19/2023 15:22:33	0.00	0.07	0.00	0.02	0.00	0.00	0.00	0.02	0.09	100.00	0.00	22.45	0	75	0	1	0	0	0	0	75	126.88	0.51	0.52	0.90	1.31	1.82	-0.09	0.97	23.48	22.89
7/19/2023 15:22:36	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.03	0.07	100.00	0.01	22.44	0	72	0	0	0	0	0	0	72	126.65	0.51	0.47	0.92	1.42	1.74	-0.07	0.97	23.48	22.89
7/19/2023 15:22:39	0.00	0.06	0.00	0.04	0.00	0.00	0.00	0.02	0.09	100.00	0.01	22.47	0	57	0	1	0	0	0	0	58	126.57	0.62	0.54	0.95	1.34	1.71	-0.06	0.97	23.51	22.90
7/19/2023 15:22:42	0.00	0.12	0.00	0.02	0.00	0.00	0.00	0.03	0.14	100.00	0.00	22.47	0	117	0	1	0	0	0	0	118	126.49	0.68	0.55	1.05	1.40	1.89	-0.16	0.97	23.51	22.90
