"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
"06/14/2023, 12:00:00","MQ","ICB","Blank","12:00:06",1,0.004,0.039,0.011,0.007,0.005,0.061,0.004,0.039,0.011,0.007,0.005,0.061,100,""
"06/14/2023, 12:03:54","Owasco","230613_OW_Buoy_S","Raw Water","12:03:57",1,2.333,0.22,0.785,0.062,0.849,3.4,2.333,0.22,0.785,0.062,0.849,3.4,100,"Duplicate"
"06/14/2023, 12:05:00","Owasco","230613_OW_Buoy_S","Raw Water","12:05:22",1,2.052,0.176,0.792,0.113,0.862,3.133,2.052,0.176,0.792,0.113,0.862,3.133,100,"Duplicate"
"06/14/2023, 12:07:00","Owasco","230613_OW_Buoy_T","Raw Water","12:07:10",1,1.948,0,2.325,0.192,0.94,4.465,1.948,0,2.325,0.192,0.94,4.465,100,""
"06/14/2023, 12:09:18","Owasco","230613_OW_Buoy_B","Raw Water","12:09:40",1,0,0.106,0.03,0.374,1.053,0.51,0,0.106,0.03,0.374,1.053,0.51,100,""
"06/14/2023, 12:12:00","Honeoye","230613_HN_7M_S","Raw Water","12:12:14",1,2.402,0.773,0.579,1.815,1.515,5.569,2.402,0.773,0.579,1.815,1.515,5.569,100,""
"06/14/2023, 12:14:00","Honeoye","230613_HN_7M_B","Raw Water","12:14:13",1,0.328,0.557,0.688,1.225,1.768,2.798,0.328,0.557,0.688,1.225,1.768,2.798,100,""
"06/14/2023, 12:16:42","Honeoye","230613_HN_9M_S","Raw Water","12:16:53",1,1.286,0.522,0.943,1.504,1.247,4.255,1.286,0.522,0.943,1.504,1.247,4.255,100,""
"06/14/2023, 12:19:06","Honeoye","230613_HB_9M_B","Raw Water","12:19:33",1,0.357,0.405,0.355,0.109,1.339,1.226,0.357,0.405,0.355,0.109,1.339,1.226,100,""
"06/14/2023, 12:21:00","MQ","CCB","Blank","12:21:17",1,0.016,0.08,0.003,0.006,0.013,0.105,0.016,0.08,0.003,0.006,0.013,0.105,100,""
